-50000.00 0.00 55559.75 4740.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 475                           #nx nz
-50000.00 0.00 1541.2040  1022.4173 35.0219 27.9843
-50000.00 10.00 1541.3460  1022.4659 35.0232 27.9704
-50000.00 20.00 1541.4512  1022.5226 35.0274 27.9383
-50000.00 30.00 1541.4445  1022.6046 35.0408 27.8503
-50000.00 40.00 1541.2865  1022.7166 35.0628 27.6895
-50000.00 50.00 1541.0207  1022.8449 35.0856 27.4802
-50000.00 60.00 1540.7128  1022.9759 35.1055 27.2548
-50000.00 70.00 1540.3781  1023.1085 35.1239 27.0198
-50000.00 80.00 1539.9920  1023.2480 35.1430 26.7634
-50000.00 90.00 1539.5124  1023.4011 35.1640 26.4671
-50000.00 100.00 1538.8736  1023.5759 35.1865 26.1039
-50000.00 110.00 1537.9901  1023.7781 35.2060 25.6416
-50000.00 120.00 1536.8195  1024.0044 35.2150 25.0701
-50000.00 130.00 1535.3993  1024.2439 35.2099 24.4119
-50000.00 140.00 1533.8044  1024.4868 35.1918 23.6998
-50000.00 150.00 1532.0994  1024.7182 35.1589 22.9709
-50000.00 160.00 1530.4005  1024.9364 35.1203 22.2604
-50000.00 170.00 1528.7065  1025.1439 35.0772 21.5649
-50000.00 180.00 1527.0709  1025.3310 35.0302 20.9127
-50000.00 190.00 1525.4537  1025.5118 34.9821 20.2742
-50000.00 200.00 1523.8870  1025.6798 34.9338 19.6680
-50000.00 210.00 1522.3658  1025.8365 34.8854 19.0907
-50000.00 220.00 1520.8446  1025.9932 34.8369 18.5135
-50000.00 230.00 1519.3784  1026.1362 34.7906 17.9739
-50000.00 240.00 1517.9326  1026.2741 34.7450 17.4482
-50000.00 250.00 1516.4869  1026.4120 34.6994 16.9225
-50000.00 260.00 1515.0532  1026.5464 34.6552 16.4071
-50000.00 270.00 1513.6553  1026.6705 34.6151 15.9220
-50000.00 280.00 1512.2574  1026.7945 34.5749 15.4369
-50000.00 290.00 1510.8595  1026.9186 34.5347 14.9518
-50000.00 300.00 1509.4622  1027.0425 34.4946 14.4671
-50000.00 310.00 1508.1515  1027.1542 34.4636 14.0319
-50000.00 320.00 1506.8408  1027.2659 34.4326 13.5967
-50000.00 330.00 1505.5301  1027.3775 34.4016 13.1616
-50000.00 340.00 1504.2195  1027.4892 34.3706 12.7264
-50000.00 350.00 1502.9088  1027.6009 34.3395 12.2912
-50000.00 360.00 1501.7628  1027.7012 34.3201 11.9215
-50000.00 370.00 1500.6288  1027.8008 34.3015 11.5566
-50000.00 380.00 1499.4948  1027.9003 34.2829 11.1917
-50000.00 390.00 1498.3609  1027.9998 34.2642 10.8268
-50000.00 400.00 1497.2269  1028.0994 34.2456 10.4618
-50000.00 410.00 1496.0949  1028.1988 34.2271 10.0976
-50000.00 420.00 1495.2417  1028.2865 34.2214 9.8227
-50000.00 430.00 1494.3885  1028.3742 34.2157 9.5478
-50000.00 440.00 1493.5354  1028.4619 34.2100 9.2730
-50000.00 450.00 1492.6822  1028.5496 34.2043 8.9981
-50000.00 460.00 1491.8290  1028.6373 34.1986 8.7233
-50000.00 470.00 1490.9759  1028.7250 34.1929 8.4484
-50000.00 480.00 1490.2056  1028.8101 34.1897 8.1970
