-50000.00 0.00 55559.75 3950.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 396                           #nx nz
-50000.00 0.00 1510.6160  1025.0342 34.2362 16.5677
-50000.00 10.00 1510.6900  1025.0847 34.2347 16.5367
-50000.00 20.00 1510.6133  1025.1450 34.2312 16.4573
-50000.00 30.00 1510.1478  1025.2297 34.2222 16.2532
-50000.00 40.00 1509.1909  1025.3446 34.2071 15.8938
-50000.00 50.00 1507.8252  1025.4829 34.1874 15.4090
-50000.00 60.00 1506.2470  1025.6305 34.1653 14.8644
-50000.00 70.00 1504.6412  1025.7755 34.1430 14.3189
-50000.00 80.00 1503.1397  1025.9101 34.1213 13.8128
-50000.00 90.00 1501.7999  1026.0311 34.0996 13.3622
-50000.00 100.00 1500.6285  1026.1391 34.0778 12.9674
-50000.00 110.00 1499.6331  1026.2362 34.0579 12.6281
-50000.00 120.00 1498.7860  1026.3262 34.0415 12.3341
-50000.00 130.00 1497.9976  1026.4151 34.0291 12.0580
-50000.00 140.00 1497.1946  1026.5076 34.0210 11.7779
-50000.00 150.00 1496.3497  1026.6123 34.0265 11.4835
-50000.00 160.00 1495.5242  1026.7256 34.0446 11.1920
-50000.00 170.00 1494.7146  1026.8459 34.0730 10.9028
-50000.00 180.00 1494.0173  1026.9711 34.1156 10.6431
-50000.00 190.00 1493.3554  1027.0979 34.1627 10.3927
-50000.00 200.00 1492.7960  1027.2189 34.2099 10.1724
-50000.00 210.00 1492.3289  1027.3349 34.2573 9.9793
-50000.00 220.00 1491.8619  1027.4508 34.3047 9.7862
-50000.00 230.00 1491.4699  1027.5518 34.3394 9.6200
-50000.00 240.00 1491.1060  1027.6472 34.3695 9.4638
-50000.00 250.00 1490.7420  1027.7425 34.3995 9.3076
-50000.00 260.00 1490.3705  1027.8332 34.4238 9.1520
-50000.00 270.00 1489.9769  1027.9097 34.4312 8.9981
-50000.00 280.00 1489.5833  1027.9863 34.4385 8.8442
-50000.00 290.00 1489.1897  1028.0629 34.4459 8.6903
-50000.00 300.00 1488.7956  1028.1394 34.4531 8.5363
-50000.00 310.00 1488.3393  1028.2052 34.4462 8.3736
-50000.00 320.00 1487.8829  1028.2711 34.4393 8.2109
-50000.00 330.00 1487.4265  1028.3369 34.4323 8.0483
-50000.00 340.00 1486.9701  1028.4028 34.4254 7.8856
-50000.00 350.00 1486.5138  1028.4686 34.4185 7.7229
-50000.00 360.00 1486.1043  1028.5284 34.4083 7.5767
-50000.00 370.00 1485.6982  1028.5878 34.3980 7.4317
-50000.00 380.00 1485.2921  1028.6472 34.3876 7.2867
-50000.00 390.00 1484.8860  1028.7066 34.3772 7.1417
-50000.00 400.00 1484.4799  1028.7659 34.3668 6.9967
-50000.00 410.00 1484.0749  1028.8253 34.3565 6.8520
-50000.00 420.00 1483.8248  1028.8801 34.3490 6.7485
-50000.00 430.00 1483.5747  1028.9350 34.3416 6.6449
-50000.00 440.00 1483.3246  1028.9899 34.3341 6.5414
-50000.00 450.00 1483.0745  1029.0447 34.3266 6.4378
-50000.00 460.00 1482.8244  1029.0996 34.3192 6.3343
-50000.00 470.00 1482.5743  1029.1544 34.3117 6.2308
-50000.00 480.00 1482.3601  1029.2088 34.3053 6.1362
-50000.00 490.00 1482.2520  1029.2617 34.3022 6.0683
-50000.00 500.00 1482.1438  1029.3146 34.2990 6.0004
-50000.00 510.00 1482.0357  1029.3676 34.2958 5.9324
-50000.00 520.00 1481.9275  1029.4205 34.2926 5.8645
