-50000.00 0.00 55559.75 4200.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 421                           #nx nz
-50000.00 0.00 1511.5417  1025.0045 34.2850 16.8540
-50000.00 10.00 1511.6169  1025.0550 34.2835 16.8232
-50000.00 20.00 1511.5414  1025.1154 34.2798 16.7435
-50000.00 30.00 1511.0776  1025.2002 34.2700 16.5388
-50000.00 40.00 1510.1263  1025.3147 34.2531 16.1791
-50000.00 50.00 1508.7759  1025.4518 34.2308 15.6965
-50000.00 60.00 1507.2265  1025.5975 34.2060 15.1578
-50000.00 70.00 1505.6620  1025.7399 34.1812 14.6220
-50000.00 80.00 1504.2097  1025.8717 34.1572 14.1279
-50000.00 90.00 1502.9217  1025.9900 34.1338 13.6901
-50000.00 100.00 1501.7921  1026.0958 34.1102 13.3051
-50000.00 110.00 1500.7981  1026.1921 34.0876 12.9643
-50000.00 120.00 1499.8958  1026.2835 34.0673 12.6528
-50000.00 130.00 1499.0134  1026.3750 34.0501 12.3485
-50000.00 140.00 1498.1047  1026.4702 34.0369 12.0372
-50000.00 150.00 1497.1849  1026.5755 34.0369 11.7211
-50000.00 160.00 1496.3077  1026.6878 34.0493 11.4150
-50000.00 170.00 1495.4649  1026.8057 34.0716 11.1169
-50000.00 180.00 1494.7456  1026.9284 34.1090 10.8514
-50000.00 190.00 1494.0653  1027.0527 34.1512 10.5962
-50000.00 200.00 1493.4789  1027.1734 34.1958 10.3683
-50000.00 210.00 1492.9768  1027.2910 34.2425 10.1647
-50000.00 220.00 1492.4748  1027.4085 34.2893 9.9612
-50000.00 230.00 1492.0375  1027.5135 34.3259 9.7812
-50000.00 240.00 1491.6243  1027.6139 34.3587 9.6099
-50000.00 250.00 1491.2111  1027.7142 34.3916 9.4386
-50000.00 260.00 1490.7949  1027.8094 34.4185 9.2693
-50000.00 270.00 1490.3698  1027.8895 34.4282 9.1057
-50000.00 280.00 1489.9446  1027.9696 34.4378 8.9421
-50000.00 290.00 1489.5195  1028.0496 34.4474 8.7784
-50000.00 300.00 1489.0941  1028.1296 34.4569 8.6148
-50000.00 310.00 1488.6315  1028.1965 34.4507 8.4500
-50000.00 320.00 1488.1689  1028.2633 34.4444 8.2851
-50000.00 330.00 1487.7063  1028.3302 34.4382 8.1202
-50000.00 340.00 1487.2437  1028.3971 34.4320 7.9554
-50000.00 350.00 1486.7811  1028.4639 34.4257 7.7905
-50000.00 360.00 1486.3655  1028.5241 34.4156 7.6424
-50000.00 370.00 1485.9532  1028.5838 34.4053 7.4956
-50000.00 380.00 1485.5410  1028.6436 34.3949 7.3488
-50000.00 390.00 1485.1288  1028.7033 34.3845 7.2020
-50000.00 400.00 1484.7165  1028.7630 34.3742 7.0551
-50000.00 410.00 1484.3054  1028.8227 34.3638 6.9086
-50000.00 420.00 1484.0463  1028.8778 34.3561 6.8027
-50000.00 430.00 1483.7872  1028.9329 34.3484 6.6968
-50000.00 440.00 1483.5281  1028.9879 34.3407 6.5910
-50000.00 450.00 1483.2690  1029.0430 34.3331 6.4851
-50000.00 460.00 1483.0099  1029.0980 34.3254 6.3792
-50000.00 470.00 1482.7509  1029.1531 34.3177 6.2733
-50000.00 480.00 1482.5282  1029.2076 34.3111 6.1766
-50000.00 490.00 1482.4129  1029.2607 34.3077 6.1069
-50000.00 500.00 1482.2977  1029.3137 34.3043 6.0372
-50000.00 510.00 1482.1825  1029.3667 34.3009 5.9675
-50000.00 520.00 1482.0673  1029.4197 34.2976 5.8979
-50000.00 530.00 1481.9521  1029.4727 34.2942 5.8282
-50000.00 540.00 1481.8369  1029.5258 34.2908 5.7585
-50000.00 550.00 1481.7216  1029.5788 34.2874 5.6888
-50000.00 560.00 1481.6598  1029.6318 34.2864 5.6321
-50000.00 570.00 1481.6178  1029.6848 34.2862 5.5802
-50000.00 580.00 1481.5757  1029.7377 34.2860 5.5284
-50000.00 590.00 1481.5337  1029.7907 34.2858 5.4765
-50000.00 600.00 1481.4917  1029.8437 34.2856 5.4247
-50000.00 610.00 1481.4497  1029.8967 34.2855 5.3728
-50000.00 620.00 1481.4076  1029.9497 34.2853 5.3209
-50000.00 630.00 1481.3656  1030.0026 34.2851 5.2691
-50000.00 640.00 1481.3356  1030.0560 34.2860 5.2201
-50000.00 650.00 1481.3164  1030.1098 34.2878 5.1736
