-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 800                           #nx nz
-50000.00 0.00 1540.9454  1022.5162 35.0873 27.8319
-50000.00 10.00 1541.0842  1022.5653 35.0886 27.8167
-50000.00 20.00 1541.1711  1022.6249 35.0930 27.7763
-50000.00 30.00 1541.1129  1022.7144 35.1067 27.6652
-50000.00 40.00 1540.8895  1022.8343 35.1272 27.4764
-50000.00 50.00 1540.5669  1022.9673 35.1471 27.2446
-50000.00 60.00 1540.2093  1023.1020 35.1642 27.0000
-50000.00 70.00 1539.8268  1023.2380 35.1801 26.7469
-50000.00 80.00 1539.3826  1023.3819 35.1965 26.4686
-50000.00 90.00 1538.8194  1023.5409 35.2129 26.1409
-50000.00 100.00 1538.0659  1023.7218 35.2275 25.7360
-50000.00 110.00 1537.0522  1023.9275 35.2352 25.2295
-50000.00 120.00 1535.7638  1024.1523 35.2303 24.6228
-50000.00 130.00 1534.2568  1024.3853 35.2116 23.9443
-50000.00 140.00 1532.6129  1024.6181 35.1818 23.2278
-50000.00 150.00 1530.9232  1024.8360 35.1419 22.5179
-50000.00 160.00 1529.2715  1025.0404 35.0992 21.8363
-50000.00 170.00 1527.6504  1025.2340 35.0542 21.1774
-50000.00 180.00 1526.1137  1025.4085 35.0083 20.5677
-50000.00 190.00 1524.6036  1025.5771 34.9621 19.9735
-50000.00 200.00 1523.1557  1025.7341 34.9169 19.4131
-50000.00 210.00 1521.7639  1025.8807 34.8725 18.8830
-50000.00 220.00 1520.3720  1026.0273 34.8281 18.3530
-50000.00 230.00 1519.0467  1026.1614 34.7862 17.8611
-50000.00 240.00 1517.7461  1026.2908 34.7452 17.3832
-50000.00 250.00 1516.4456  1026.4202 34.7042 16.9054
-50000.00 260.00 1515.1563  1026.5466 34.6642 16.4366
-50000.00 270.00 1513.9006  1026.6639 34.6274 15.9943
-50000.00 280.00 1512.6449  1026.7812 34.5906 15.5520
-50000.00 290.00 1511.3891  1026.8985 34.5537 15.1097
-50000.00 300.00 1510.1337  1027.0157 34.5169 14.6676
-50000.00 310.00 1508.9244  1027.1232 34.4866 14.2599
-50000.00 320.00 1507.7150  1027.2306 34.4562 13.8521
-50000.00 330.00 1506.5057  1027.3381 34.4258 13.4444
-50000.00 340.00 1505.2963  1027.4455 34.3955 13.0367
-50000.00 350.00 1504.0870  1027.5530 34.3651 12.6289
-50000.00 360.00 1502.9800  1027.6514 34.3438 12.2678
-50000.00 370.00 1501.8805  1027.7493 34.3232 11.9101
-50000.00 380.00 1500.7810  1027.8471 34.3026 11.5524
-50000.00 390.00 1499.6814  1027.9449 34.2820 11.1947
-50000.00 400.00 1498.5819  1028.0428 34.2614 10.8370
-50000.00 410.00 1497.4838  1028.1405 34.2408 10.4798
-50000.00 420.00 1496.5867  1028.2288 34.2318 10.1917
-50000.00 430.00 1495.6895  1028.3171 34.2228 9.9036
-50000.00 440.00 1494.7924  1028.4054 34.2138 9.6155
-50000.00 450.00 1493.8952  1028.4937 34.2048 9.3274
-50000.00 460.00 1492.9981  1028.5820 34.1958 9.0393
-50000.00 470.00 1492.1009  1028.6702 34.1867 8.7512
-50000.00 480.00 1491.2750  1028.7562 34.1803 8.4840
-50000.00 490.00 1490.6593  1028.8352 34.1817 8.2786
-50000.00 500.00 1490.0437  1028.9143 34.1831 8.0731
-50000.00 510.00 1489.4281  1028.9933 34.1845 7.8677
-50000.00 520.00 1488.8124  1029.0723 34.1859 7.6622
-50000.00 530.00 1488.1968  1029.1514 34.1872 7.4567
-50000.00 540.00 1487.5811  1029.2304 34.1886 7.2513
-50000.00 550.00 1486.9655  1029.3095 34.1900 7.0458
-50000.00 560.00 1486.5583  1029.3825 34.1961 6.8963
-50000.00 570.00 1486.2285  1029.4534 34.2040 6.7677
-50000.00 580.00 1485.8988  1029.5242 34.2119 6.6390
-50000.00 590.00 1485.5690  1029.5950 34.2198 6.5103
-50000.00 600.00 1485.2393  1029.6658 34.2277 6.3817
-50000.00 610.00 1484.9095  1029.7367 34.2356 6.2530
-50000.00 620.00 1484.5798  1029.8075 34.2435 6.1243
-50000.00 630.00 1484.2501  1029.8783 34.2513 5.9957
-50000.00 640.00 1484.0250  1029.9458 34.2602 5.8941
-50000.00 650.00 1483.8940  1030.0101 34.2698 5.8167
-50000.00 660.00 1483.7630  1030.0745 34.2795 5.7394
-50000.00 670.00 1483.6321  1030.1389 34.2892 5.6621
-50000.00 680.00 1483.5011  1030.2032 34.2988 5.5848
-50000.00 690.00 1483.3701  1030.2676 34.3085 5.5075
-50000.00 700.00 1483.2392  1030.3320 34.3182 5.4302
-50000.00 710.00 1483.1082  1030.3963 34.3279 5.3529
-50000.00 720.00 1482.9772  1030.4607 34.3375 5.2756
-50000.00 730.00 1482.9168  1030.5214 34.3459 5.2167
-50000.00 740.00 1482.8785  1030.5810 34.3540 5.1636
-50000.00 750.00 1482.8403  1030.6406 34.3620 5.1106
-50000.00 760.00 1482.8021  1030.7002 34.3700 5.0575
-50000.00 770.00 1482.7639  1030.7598 34.3781 5.0044
-50000.00 780.00 1482.7256  1030.8194 34.3861 4.9513
-50000.00 790.00 1482.6874  1030.8789 34.3941 4.8982
-50000.00 800.00 1482.6492  1030.9385 34.4022 4.8452
-50000.00 810.00 1482.6110  1030.9981 34.4102 4.7921
-50000.00 820.00 1482.5936  1031.0557 34.4168 4.7448
-50000.00 830.00 1482.5931  1031.1118 34.4222 4.7022
-50000.00 840.00 1482.5926  1031.1679 34.4277 4.6595
-50000.00 850.00 1482.5921  1031.2239 34.4331 4.6169
-50000.00 860.00 1482.5916  1031.2800 34.4386 4.5743
-50000.00 870.00 1482.5911  1031.3360 34.4440 4.5317
-50000.00 880.00 1482.5906  1031.3921 34.4495 4.4891
-50000.00 890.00 1482.5901  1031.4482 34.4549 4.4465
-50000.00 900.00 1482.5895  1031.5042 34.4604 4.4038
-50000.00 910.00 1482.5896  1031.5602 34.4658 4.3614
-50000.00 920.00 1482.6106  1031.6139 34.4693 4.3249
-50000.00 930.00 1482.6315  1031.6676 34.4728 4.2883
-50000.00 940.00 1482.6525  1031.7212 34.4763 4.2518
-50000.00 950.00 1482.6735  1031.7749 34.4798 4.2153
-50000.00 960.00 1482.6945  1031.8286 34.4833 4.1788
-50000.00 970.00 1482.7154  1031.8822 34.4868 4.1423
-50000.00 980.00 1482.7364  1031.9359 34.4903 4.1057
-50000.00 990.00 1482.7574  1031.9896 34.4938 4.0692
-50000.00 1000.00 1482.7784  1032.0432 34.4973 4.0327
-50000.00 1010.00 1482.8038  1032.0965 34.5005 3.9974
-50000.00 1020.00 1482.8404  1032.1487 34.5029 3.9652
-50000.00 1030.00 1482.8771  1032.2009 34.5053 3.9330
-50000.00 1040.00 1482.9137  1032.2531 34.5077 3.9007
-50000.00 1050.00 1482.9503  1032.3052 34.5101 3.8685
-50000.00 1060.00 1482.9870  1032.3574 34.5125 3.8363
-50000.00 1070.00 1483.0236  1032.4096 34.5149 3.8041
-50000.00 1080.00 1483.0602  1032.4618 34.5173 3.7719
-50000.00 1090.00 1483.0969  1032.5140 34.5197 3.7396
-50000.00 1100.00 1483.1335  1032.5662 34.5221 3.7074
-50000.00 1110.00 1483.1749  1032.6180 34.5242 3.6765
